epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.70855,0.96848,2.2955,0.01359,0.85723,0.67381,0.90804,0.66936,1.5399,1.02886,0.0111,0,0,0
2,5.01855,1.14978,2.45177,0.01313,0.89224,0.65379,0.8985,0.66843,1.5307,1.06002,0.01099,9.5438e-07,9.5438e-07,9.5438e-07
3,6.13784,0.95484,2.89,0.0201,0.86621,0.66943,0.90248,0.6615,1.57329,1.02077,0.0115,1.43752e-06,1.43752e-06,1.43752e-06
4,7.29263,1.32821,2.52756,0.02774,0.86471,0.67359,0.90027,0.66379,1.57949,1.02287,0.01152,1.44942e-06,1.44942e-06,1.44942e-06
5,8.43254,1.35933,2.94842,0.02227,0.86031,0.67527,0.90026,0.66308,1.57586,1.0253,0.01149,9.9008e-07,9.9008e-07,9.9008e-07
